Gene start (bp),Gene end (bp),Gene name,Transcript start (bp),Transcript end (bp)
577,647,MT-TF,577,647
648,1601,MT-RNR1,648,1601
1602,1670,MT-TV,1602,1670
1671,3229,MT-RNR2,1671,3229
3230,3304,MT-TL1,3230,3304
3307,4262,MT-ND1,3307,4262
4263,4331,MT-TI,4263,4331
4329,4400,MT-TQ,4329,4400
4402,4469,MT-TM,4402,4469
4470,5511,MT-ND2,4470,5511
5512,5579,MT-TW,5512,5579
5587,5655,MT-TA,5587,5655
5657,5729,MT-TN,5657,5729
5761,5826,MT-TC,5761,5826
5826,5891,MT-TY,5826,5891
5904,7445,MT-CO1,5904,7445
7446,7514,MT-TS1,7446,7514
7518,7585,MT-TD,7518,7585
7586,8269,MT-CO2,7586,8269
8295,8364,MT-TK,8295,8364
8366,8572,MT-ATP8,8366,8572
8527,9207,MT-ATP6,8527,9207
9207,9990,MT-CO3,9207,9990
9991,10058,MT-TG,9991,10058
10059,10404,MT-ND3,10059,10404
10405,10469,MT-TR,10405,10469
10470,10766,MT-ND4L,10470,10766
10760,12137,MT-ND4,10760,12137
12138,12206,MT-TH,12138,12206
12207,12265,MT-TS2,12207,12265
12266,12336,MT-TL2,12266,12336
12337,14148,MT-ND5,12337,14148
14149,14673,MT-ND6,14149,14673
14674,14742,MT-TE,14674,14742
14747,15887,MT-CYB,14747,15887
15888,15953,MT-TT,15888,15953
15956,16023,MT-TP,15956,16023
4612,29626,,4612,24650
4612,29626,,6101,29626
4612,29626,,6101,29626
4612,29626,,6102,29626
753629,754224,,753629,754224
380608,380726,5S_rRNA,380608,380726
56140,58376,,56140,58376
153745298,153792039,INTS3,153745298,153792039
153745298,153792039,INTS3,153745322,153790766
153745298,153792039,INTS3,153745714,153791310
153745298,153792039,INTS3,153768085,153790959
153745298,153792039,INTS3,153768366,153791310
153745298,153792039,INTS3,153769308,153778133
153745298,153792039,INTS3,153774868,153790550
153745298,153792039,INTS3,153776905,153780071
153745298,153792039,INTS3,153783706,153791310
153745298,153792039,INTS3,153784062,153791310
153745298,153792039,INTS3,153790265,153792039
217250,217401,5_8S_rRNA,217250,217401
745961,754657,,745961,754657
745961,754657,,745973,746748
745961,754657,,746472,751747
784657,859032,LINC01115,784657,859032
54738538,54753053,KIR2DL3,54738538,54753053
29113759,29114317,,29113759,29114317
54707916,54713453,LILRP2,54707916,54713453
54707916,54713453,LILRP2,54708602,54713232
54803599,54814548,KIR2DL4,54803599,54814548
29200579,29225491,,29200579,29225491
29152383,29181238,LINC02109,29152383,29171338
29152383,29181238,LINC02109,29152392,29162365
29152383,29181238,LINC02109,29162414,29162900
29152383,29181238,LINC02109,29162416,29181238
29152383,29181238,LINC02109,29173305,29176677
54700593,54700905,LILRP1,54700593,54700905
54864204,54872914,KIR3DL2,54864204,54872914
